0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
AC20-0015691,CT,0,0,0,0,10/3/20 19:43,S Parker Rd,E ORCHARD RD,Centennial,CO,80015,10,R464,-104.810498,39.61036,,,,,2,83,,B61,10/3/20 20:52,10,1,2,6,0,Y,0,N,0,0,1,6,,6,3,1,1,2,DRY,3,NONE,,,,,,,,,4,2,N,,,0,4,0,0,B,1,B,2,B,0,0,0,1,,,,,,,,,2,1,3,0,0,Y,5,3,3,40,0,0,NO APPARENT CONTRIBUTING FACTOR,,NONE,,,,<p>TU2 was stopped at the left turn lane to turn Northbound on to Parker Rd. TU1 drove Westbound across Parker Rd. and ran right into TU2 - head on.</p><p>TU2 is a Parks and Wildlife vehicle with fleet insurance. They were unable to locate a policy number.</p>
AC20-0015691,CT,0,0,0,0,10/3/20 19:43,S Parker Rd,E ORCHARD RD,Centennial,CO,80015,10,R464,-104.810498,39.61036,,,,,2,83,,B61,10/3/20 20:52,10,1,2,6,0,Y,0,N,0,0,1,6,,6,3,1,1,2,DRY,3,NONE,,,,,,,,,4,2,N,,,0,3,0,0,B,1,A,3,B,0,0,0,0,,,,,,,,,2,1,3,0,0,Y,5,3,3,40,0,0,NO APPARENT CONTRIBUTING FACTOR,,NONE,,,,<p>TU2 was stopped at the left turn lane to turn Northbound on to Parker Rd. TU1 drove Westbound across Parker Rd. and ran right into TU2 - head on.</p><p>TU2 is a Parks and Wildlife vehicle with fleet insurance. They were unable to locate a policy number.</p>
AC20-0015722,CT,0,0,0,0,10/4/20 4:56,E Progress Ave,S Malta Way,Centennial,CO,80015,10,R490,-104.742903,39.62202,,20,F,E,3,,,C71,10/4/20 4:56,,1,2,7,0,Y,0,,,0,1,13,,13,3,4,1,2,DRY,3,NONE,,,,,,,,,3,1,N,CARELESS DRIVING,141,0,1,0,0,B,1,A,3,B,0,0,0,0,,,,,,,,,1,1,1,0,0,Y,5,3,16,25,35,17,DISTRACTED/OTHER,,NONE,,,ORIGINAL REPORT,"V1 WAS EB E PROGRESS AVE. V1 DRIVER SPILT HIS MILK WHILE DRIVING AND LOOKED DOWN TO CLEAN UP THE MESS. V1 DRIVER LOOKED UP AND AS HE PASSED S MALTA WAY, HE STRUCK V2 LEGALLY PARKED ON THE SIDE OF THE ROAD. V1 AND V2 CAME TO A CONTROLLED REST AT THE LOCATION OF THE ACCIDENT."
AC20-0015722,CT,0,0,0,0,10/4/20 4:56,E Progress Ave,S Malta Way,Centennial,CO,80015,10,R490,-104.742903,39.62202,,20,F,E,3,,,C71,10/4/20 4:56,,1,2,7,0,Y,0,,,0,1,13,,13,3,4,1,2,DRY,3,NONE,,,,,,,,,3,2,U,,,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,Y,9,3,10,,,0,,,,,,ORIGINAL REPORT,"V1 WAS EB E PROGRESS AVE. V1 DRIVER SPILT HIS MILK WHILE DRIVING AND LOOKED DOWN TO CLEAN UP THE MESS. V1 DRIVER LOOKED UP AND AS HE PASSED S MALTA WAY, HE STRUCK V2 LEGALLY PARKED ON THE SIDE OF THE ROAD. V1 AND V2 CAME TO A CONTROLLED REST AT THE LOCATION OF THE ACCIDENT."
AC20-0015729,CT,0,0,0,0,10/4/20 9:40,S Jordan Rd ,E Broncos Pkwy,Centennial,CO,80112,10,R28,-104.807006,39.576007,,,,,3,,,a41,10/4/20 9:40,,1,2,4,0,Y,0,N,0,0,1,8,,8,3,1,1,2,DRY,1,NONE,,,,,,,,,3,1,N,CARELESS DRIVING ,141,0,1,3,3,C,1,A,1,B,0,0,0,0,0,8,0,7,0,N,,,1,1,1,0,0,N,5,1,1,45,45,17,Careless Driving,,NONE,,,ORIGINAL REPORT,"TU1 was traveling Northbound on South Jordan Road with a red light. When it struck TU2 who was traveling Eastbound on East Broncos Parkway with a green light.&nbsp; After stricking TU1, TU2 continued Northbound in Southbound lanes, coming to a final stop approximatley 100 feet from the intersetion.&nbsp;&nbsp;"
AC20-0015729,CT,0,0,0,0,10/4/20 9:40,S Jordan Rd ,E Broncos Pkwy,Centennial,CO,80112,10,R28,-104.807006,39.576007,,,,,3,,,a41,10/4/20 9:40,,1,2,4,0,Y,0,N,0,0,1,8,,8,3,1,1,2,DRY,1,NONE,,,,,,,,,4,2,N,,,0,3,3,3,B,1,A,1,F,0,0,0,0,0,8,0,7,0,N,,,2,1,2,0,0,Y,5,3,1,45,10,0,NO APPARENT CONTRIBUTING FACTOR,,NONE,,,ORIGINAL REPORT,"TU1 was traveling Northbound on South Jordan Road with a red light. When it struck TU2 who was traveling Eastbound on East Broncos Parkway with a green light.&nbsp; After stricking TU1, TU2 continued Northbound in Southbound lanes, coming to a final stop approximatley 100 feet from the intersetion.&nbsp;&nbsp;"
AC20-0015729,CT,0,0,0,0,10/4/20 9:40,S Jordan Rd ,E Broncos Pkwy,Centennial,CO,80112,10,R28,-104.807006,39.576007,,,,,3,,,a41,10/4/20 9:40,,1,2,4,0,Y,0,N,0,0,1,8,,8,3,1,1,2,DRY,1,NONE,,,,,,,,,3,2,N,,,0,1,3,3,B,1,A,0,F,0,0,0,0,0,8,0,7,0,N,,,2,1,2,0,0,Y,5,3,1,45,10,0,NO APPARENT CONTRIBUTING FACTOR,,NONE,,,ORIGINAL REPORT,"TU1 was traveling Northbound on South Jordan Road with a red light. When it struck TU2 who was traveling Eastbound on East Broncos Parkway with a green light.&nbsp; After stricking TU1, TU2 continued Northbound in Southbound lanes, coming to a final stop approximatley 100 feet from the intersetion.&nbsp;&nbsp;"
AC20-0015789,CT,0,0,0,0,10/5/20 10:41,7500 S YOSEMITE ST,E DRY CREEK RD,Centennial,CO,80112,10,CT_CT3_32_3243,-104.8856223,39.58050985,,,,,3,,,T87,10/5/20 10:41,10,1,2,3,0,Y,0,,,0,1,8,,8,3,1,2,2,DRY,1,NONE,,,,,,,,,3,1,N,Careless Driving,141,0,1,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,1,1,1,0,0,Y,9,5,1,35,,17,OTHER FACTOR,,NONE,,,ORIGINAL REPORT,<p>V2 was WB E Dry Creek Road. Driver of V2 saw that the WB light was green at S Yosemite St and described the walk signal for the crosswalk of WB/EB E Dry Creek Road on the north side as having 9 seconds remaining. Driver of V2 continued through the intersection on the green light. V1 was SB S Yosemite St. Driver of V1 said that the light turned yellow and she panicked and tried to stop but could not in time and ended up stopped in the intersection on the red light. Driver of V1 said she continued through the intersection on the red. V1 and V2 crashed causing damage to both cars.&nbsp;</p><p></p><p></p><p></p>
AC20-0015789,CT,0,0,0,0,10/5/20 10:41,7500 S YOSEMITE ST,E DRY CREEK RD,Centennial,CO,80112,10,CT_CT3_32_3243,-104.8856223,39.58050985,,,,,3,,,T87,10/5/20 10:41,10,1,2,3,0,Y,0,,,0,1,8,,8,3,1,2,2,DRY,1,NONE,,,,,,,,,3,2,N,,,0,1,0,0,B,1,A,2,B,0,0,0,0,,,,,,,,,2,1,1,0,0,Y,5,7,1,40,,0,NO APPARENT CONTRIBUTING FACTOR,,NONE,,,ORIGINAL REPORT,<p>V2 was WB E Dry Creek Road. Driver of V2 saw that the WB light was green at S Yosemite St and described the walk signal for the crosswalk of WB/EB E Dry Creek Road on the north side as having 9 seconds remaining. Driver of V2 continued through the intersection on the green light. V1 was SB S Yosemite St. Driver of V1 said that the light turned yellow and she panicked and tried to stop but could not in time and ended up stopped in the intersection on the red light. Driver of V1 said she continued through the intersection on the red. V1 and V2 crashed causing damage to both cars.&nbsp;</p><p></p><p></p><p></p>
AC20-0015603,CT,0,0,0,0,10/2/20 8:52,8100 S CLARKSON ST,S HUMBOLDT CT,Centennial,CO,80122,10,CT_CT1_12_1217,-104.9714594,39.57020913,,20,F,S,3,,,A11,10/2/20 8:52,,1,1,1,0,Y,0,N,0,0,1,39,,39,2,4,4,2,DRY,1,NONE,,,,,,,,,3,1,Y,,,0,1,1,0,B,1,A,2,B,0,0,0,0,,,,,,,,,1,1,1,0,0,Y,5,1,1,35,35,0,NO APPARENT CONTRIBUTING FACTOR,12,NONE,,,ORIGINAL REPORT,TU#1 DRIVING NB ON S CLARKSON ST COLLIDED WITH TREE ON E SIDE OF ROAD JUST SOUTH OF S HUMBOLDT CIR.&nbsp; TU#1 DRIVER STATED HE HEARD A CLICK AND THE VEHICLE STARTED PULLING RIGHT.
AC20-0015589,CT,0,0,0,0,10/1/20 22:44,E ORCHARD RD & S OGDEN CT,,Centennial,CO,80121,10,GV_GV1,-104.9756371,39.60963347,,,,W,3,,,C11,10/1/20 22:44,,1,2,1,0,Y,0,N,,0,1,26,,26,3,4,2,2,DRY,4,NONE,,,,,,,,,3,1,N,Spilled Load causing BI,499,0,1,0,0,A,3,A,1,A,0,0,0,0,,,,,,,,,1,1,1,0,0,N,7,3,,35,,0,,,,,,,<p>AC20-0015589</p><p>M. Bramblett<span>&nbsp;&nbsp; </span>20067 </p><p>T2 was traveling E/B on E. Orchard Rd. in an unlit area. T2 did not see a black tractor tire in the roadway at S Ogden Ct and struck the tire with the front of his car. T2 had a bloody nose and refused rescue. T1 came to the scene and took responsibility for the tire in the road. T1 said he was dragging the tire and the rope broke so he left the tire and went home to get a chain. Drag marks were located from the tire to the subject&rsquo;s backyard gate. T1 was issued a summons. Body Worn Camera is available for this incident. Photos were summited to DCS. M. Bramblett 20067</p>
AC20-0015589,CT,0,0,0,0,10/1/20 22:44,E ORCHARD RD & S OGDEN CT,,Centennial,CO,80121,10,GV_GV1,-104.9756371,39.60963347,,,,W,3,,,C11,10/1/20 22:44,,1,2,1,0,Y,0,N,,0,1,26,,26,3,4,2,2,DRY,4,NONE,,,,,,,,,3,2,N,,,0,1,1,0,B,1,A,1,A,0,0,0,2,,,,,,,,,2,1,1,0,0,,5,3,1,35,,0,,,,,,,<p>AC20-0015589</p><p>M. Bramblett<span>&nbsp;&nbsp; </span>20067 </p><p>T2 was traveling E/B on E. Orchard Rd. in an unlit area. T2 did not see a black tractor tire in the roadway at S Ogden Ct and struck the tire with the front of his car. T2 had a bloody nose and refused rescue. T1 came to the scene and took responsibility for the tire in the road. T1 said he was dragging the tire and the rope broke so he left the tire and went home to get a chain. Drag marks were located from the tire to the subject&rsquo;s backyard gate. T1 was issued a summons. Body Worn Camera is available for this incident. Photos were summited to DCS. M. Bramblett 20067</p>
AC20-0015831,CT,0,0,0,0,10/5/20 20:15,S HIMALAYA ST,E CHENANGO AVE,Centennial,CO,80015,10,R122,-104.754374,39.626548,,,,,3,,,B78,10/5/20 23:00,,1,2,7,0,Y,0,,0,0,1,6,,6,1,1,1,2,DRY,4,NONE,,,,,,,,,3,1,N,FAILED TO YIELD ROW TURNING LEFT,278,0,1,1,0,B,1,A,1,A,0,0,0,1,,,,,,,,,1,1,1,0,0,Y,5,5,5,35,,3,DRIVER INEXPERIENCE,,NONE,,,ORIGINAL REPORT,"V1 SOUTHBOUND HIMALAYA TURNING TO EASTBOUND CHENANGO WITH A GREEN CIRCULAR LIGHT. V2 NORTHBOUND HIMALAYA PASSING CHENANGO IN LANE 2, ALSO WITH A GREEN CIRCULAR LIGHT. V1 DRIVER SAID THAT V2'S TURN SIGNAL WAS ON SO SHE MADE THE LEFT TURN, TURNING INTO THE PATH OF V2. THE VEHICLES COLLIDED LEFT FRONT TO LEFT FRONT. BOTH DRIVERS COMPLAINED OF INJURY. V1 DRIVER SELF TRANSPORTED TO PARKER ADVENTIST HOSPITAL. V2 DRIVER WAS TAKEN BY RESCUE TO AURORA SOUTH HOSPITAL."
AC20-0015831,CT,0,0,0,0,10/5/20 20:15,S HIMALAYA ST,E CHENANGO AVE,Centennial,CO,80015,10,R122,-104.754374,39.626548,,,,,3,,,B78,10/5/20 23:00,,1,2,7,0,Y,0,,0,0,1,6,,6,1,1,1,2,DRY,4,NONE,,,,,,,,,3,2,N,,,0,1,0,0,B,1,A,0,A,0,0,0,1,,,,,,,,,2,1,1,0,0,Y,5,1,1,35,,0,NO APPARENT CONTRIBUTING FACTOR,,NONE,,,ORIGINAL REPORT,"V1 SOUTHBOUND HIMALAYA TURNING TO EASTBOUND CHENANGO WITH A GREEN CIRCULAR LIGHT. V2 NORTHBOUND HIMALAYA PASSING CHENANGO IN LANE 2, ALSO WITH A GREEN CIRCULAR LIGHT. V1 DRIVER SAID THAT V2'S TURN SIGNAL WAS ON SO SHE MADE THE LEFT TURN, TURNING INTO THE PATH OF V2. THE VEHICLES COLLIDED LEFT FRONT TO LEFT FRONT. BOTH DRIVERS COMPLAINED OF INJURY. V1 DRIVER SELF TRANSPORTED TO PARKER ADVENTIST HOSPITAL. V2 DRIVER WAS TAKEN BY RESCUE TO AURORA SOUTH HOSPITAL."
AC20-0015880,CT,0,0,0,0,10/6/20 14:21,7231 S Franklin St,S FRANKLIN WAY/E GEDDES AVE,Centennial,CO,80122,10,R230,-104.965279,39.585664,,,,,3,,,B12,10/6/20 14:21,,1,2,1,0,Y,0,,,0,1,8,,8,2,4,3,2,DRY,1,NONE,,,,,,,,,4,1,Y,,,0,3,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,1,1,2,0,0,,5,5,1,25,30,17,DRIVER INEXPERIENCE,,NONE,,,,<p>AC20-15880</p><p>K. Good 04064</p><p></p><p>V2 was making a left turn (from NB traffic) into the driveway of 7231 S Franklin St trying to complete a multi step uturn</p><p>V1 was traveling SB on S Franklin St at a self reported speed of 25-30 mph</p><p>V1 did not see V2 making the turn in front of him and the front of V1 struck the right front corner of V2 (V2 was already over half way across the road in the turn)</p><p>According to V1 he could not come to a complete stop before the impact&nbsp;</p><p>Driver of V1 cited for causing the accident</p>
AC20-0015880,CT,0,0,0,0,10/6/20 14:21,7231 S Franklin St,S FRANKLIN WAY/E GEDDES AVE,Centennial,CO,80122,10,R230,-104.965279,39.585664,,,,,3,,,B12,10/6/20 14:21,,1,2,1,0,Y,0,,,0,1,8,,8,2,4,3,2,DRY,1,NONE,,,,,,,,,3,1,Y,Careless Driving,141,0,1,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,1,1,2,0,0,,5,5,1,25,30,17,DRIVER INEXPERIENCE,,NONE,,,,<p>AC20-15880</p><p>K. Good 04064</p><p></p><p>V2 was making a left turn (from NB traffic) into the driveway of 7231 S Franklin St trying to complete a multi step uturn</p><p>V1 was traveling SB on S Franklin St at a self reported speed of 25-30 mph</p><p>V1 did not see V2 making the turn in front of him and the front of V1 struck the right front corner of V2 (V2 was already over half way across the road in the turn)</p><p>According to V1 he could not come to a complete stop before the impact&nbsp;</p><p>Driver of V1 cited for causing the accident</p>
AC20-0015880,CT,0,0,0,0,10/6/20 14:21,7231 S Franklin St,S FRANKLIN WAY/E GEDDES AVE,Centennial,CO,80122,10,R230,-104.965279,39.585664,,,,,3,,,B12,10/6/20 14:21,,1,2,1,0,Y,0,,,0,1,8,,8,2,4,3,2,DRY,1,NONE,,,,,,,,,3,2,N,,,0,1,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,2,1,1,0,0,,5,7,5,25,5,0,NO APPARENT CONTRIBUTING FACTOR,,NONE,,,,<p>AC20-15880</p><p>K. Good 04064</p><p></p><p>V2 was making a left turn (from NB traffic) into the driveway of 7231 S Franklin St trying to complete a multi step uturn</p><p>V1 was traveling SB on S Franklin St at a self reported speed of 25-30 mph</p><p>V1 did not see V2 making the turn in front of him and the front of V1 struck the right front corner of V2 (V2 was already over half way across the road in the turn)</p><p>According to V1 he could not come to a complete stop before the impact&nbsp;</p><p>Driver of V1 cited for causing the accident</p>
AC20-0015888,CT,0,0,0,0,10/6/20 15:49,16706 E SMOKY HILL RD,,Centennial,CO,80015,10,R551,-104.794036,39.62689,,,,,3,,,T85,10/6/20 15:49,,1,2,6,0,,0,,,0,1,8,,8,3,4,1,2,DRY,1,NONE,,,,,,,,,3,2,N,,,0,1,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,2,1,1,0,0,,9,3,4,40,5,0,NO APPARENT CONTRIBUTING FACTOR,,,,,,V2 was beginning to pull out onto E. Smoky Hill Rd from the 16700 block when V1 which had been behind her pulled around on the left of her vehicle then made an abrupt right turn in front of her vehicle. The AOI was in lane #3 of E/B Smoky Hill Rd. The front right door of V1 collided with the front left corner of V2. V1 was a red Ford Taurus. Surveillance video from Toley's nearby did not clearly show the plate but was driven by a white male who had consumed 3 rum and cokes (paid with cash). D2 stated that she couldn't ID the driver due to the tinted windows.
